file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\wait\strategy\HttpWaitStrategyTest.java,org.testcontainers.junit.wait.strategy.HttpWaitStrategyTest,testWaitUntilReadyWithManyStatusCodes/0,FALSE,100,5,5,0,5,1,5,5,0,1,0,5,2,2,0,0,1,0,1,3,1,0,1,0,0,0,40,1,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\wait\strategy\HttpWaitStrategyTest.java,org.testcontainers.junit.wait.strategy.HttpWaitStrategyTest,testWaitUntilReadyWithTimeoutAndWithLambdaShouldNotMatchOk/0,FALSE,156,5,5,0,5,2,5,5,0,2,0,5,2,2,0,0,1,0,1,1,1,0,1,0,0,1,53,1,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\junit-jupiter\src\test\java\org\testcontainers\junit\jupiter\TestLifecycleAwareExceptionCapturingTest.java,org.testcontainers.junit.jupiter.TestLifecycleAwareExceptionCapturingTest,failing_test_should_pass_throwable_to_testContainer/0,FALSE,25,2,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\junit-jupiter\src\test\java\org\testcontainers\junit\jupiter\TestLifecycleAwareExceptionCapturingTest.java,org.testcontainers.junit.jupiter.TestLifecycleAwareExceptionCapturingTest,should_have_captured_thrownException/0,FALSE,33,4,1,0,1,1,4,5,0,1,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,12,0,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\hivemq\src\test\java\org\testcontainers\hivemq\ContainerWithoutPlatformExtensionsIT.java,org.testcontainers.hivemq.ContainerWithoutPlatformExtensionsIT,removeKafkaExtension/0,FALSE,78,8,9,0,9,1,25,16,0,5,0,25,0,0,0,0,1,0,8,1,5,0,1,0,0,0,30,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\hivemq\src\test\java\org\testcontainers\hivemq\ContainerWithoutPlatformExtensionsIT.java,org.testcontainers.hivemq.ContainerWithoutPlatformExtensionsIT,removeAllPlatformExtensions/0,FALSE,43,8,9,0,9,1,25,17,0,5,0,25,0,0,0,0,1,0,7,1,5,0,1,0,0,0,32,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\junit-jupiter\src\test\java\org\testcontainers\junit\jupiter\TestcontainersNestedSharedContainerTests.java,org.testcontainers.junit.jupiter.TestcontainersNestedSharedContainerTests$NestedTestCase,ids_should_not_change/0,FALSE,36,2,1,0,1,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\junit-jupiter\src\test\java\org\testcontainers\junit\jupiter\TestcontainersNestedSharedContainerTests.java,org.testcontainers.junit.jupiter.TestcontainersNestedSharedContainerTests$NestedTestCase,top_level_containers_should_be_running/0,FALSE,31,2,1,0,1,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\junit-jupiter\src\test\java\org\testcontainers\junit\jupiter\FilesystemFriendlyNameGeneratorTest.java,org.testcontainers.junit.jupiter.FilesystemFriendlyNameGeneratorTest,"should_generate_filesystem_friendly_name/2[java.lang.String,java.lang.String]",FALSE,18,4,1,0,1,1,7,6,0,2,2,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,17,0,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\junit-jupiter\src\test\java\org\testcontainers\junit\jupiter\FilesystemFriendlyNameGeneratorTest.java,org.testcontainers.junit.jupiter.FilesystemFriendlyNameGeneratorTest,provideDisplayNamesAndFilesystemFriendlyNames/0,FALSE,27,1,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,10,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\k3s\src\test\java\org\testcontainers\k3s\Fabric8K3sContainerTest.java,org.testcontainers.k3s.Fabric8K3sContainerTest,shouldStartAndHaveListableNode/0,FALSE,28,8,2,0,2,1,18,14,0,6,0,18,1,1,0,0,1,0,5,2,6,0,1,0,0,0,29,1,0,FALSE
